frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
219,0,22:6e:45:de:34:20,HT,20,2,1,56,77,73,448,49667
220,0,22:6e:45:de:34:20,HT,20,2,1,56,76,72,448,49666
221,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
222,0,22:6e:45:de:34:20,HT,20,2,1,56,75,72,448,49667
223,0,22:6e:45:de:34:20,HT,20,2,1,56,74,72,448,49666
224,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49668
225,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49667
226,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49666
227,0,22:6e:45:de:34:20,HT,20,2,2,56,75,77,896,49684
228,0,22:6e:45:de:34:20,HT,20,2,1,56,77,75,448,49667
229,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49668
230,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49668
231,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
232,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
233,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
234,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
235,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49666
236,0,22:6e:45:de:34:20,HT,20,2,1,56,77,74,448,49667
237,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
238,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
239,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49668
240,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
241,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49667
242,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,68,448,49671
243,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49667
244,0,22:6e:45:de:34:20,HT,20,2,2,56,75,76,896,49684
245,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
246,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49668
247,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49667
248,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
249,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
250,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49666
251,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49666
252,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
253,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
254,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49667
255,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
256,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
257,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49667
258,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49666
259,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49667
260,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
261,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
262,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
263,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
264,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49667
265,0,22:6e:45:de:34:20,HT,20,2,1,56,73,74,448,49666
266,0,22:6e:45:de:34:20,HT,20,2,1,56,76,78,448,49666
267,0,22:6e:45:de:34:20,HT,20,2,1,56,76,78,448,49666
268,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49667
269,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
270,0,22:6e:45:de:34:20,HT,20,2,1,56,77,75,448,49667
271,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
272,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,70,67,448,49671
273,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
274,0,22:6e:45:de:34:20,HT,20,2,1,56,74,79,448,49668
275,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49667
276,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
277,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,68,448,49671
278,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
279,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
280,0,22:6e:45:de:34:20,HT,20,2,1,56,74,76,448,49666
